Country Name,Country Code,Region,Series Name,Series Code,1960 [YR1960],1961 [YR1961],1962 [YR1962],1963 [YR1963],1964 [YR1964],1965 [YR1965],1966 [YR1966],1967 [YR1967],1968 [YR1968],1969 [YR1969],1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025],2026 [YR2026],2027 [YR2027],2028 [YR2028],2029 [YR2029],2030 [YR2030],2031 [YR2031],2032 [YR2032],2033 [YR2033],2034 [YR2034],2035 [YR2035],2036 [YR2036],2037 [YR2037],2038 [YR2038],2039 [YR2039],2040 [YR2040],2041 [YR2041],2042 [YR2042],2043 [YR2043],2044 [YR2044],2045 [YR2045],2046 [YR2046],2047 [YR2047],2048 [YR2048],2049 [YR2049],2050 [YR2050]
Afghanistan,AFG,ASIA (EX. NEAR EAST),"Population, female",SP.POP.TOTL.FE.IN,4345833,4436409,4530999,4629744,4732811,4840361,4950976,5064412,5183236,5310992,5449341,5597527,5751702,5906353,6054255,6188833,6313140,6425245,6508200,6540175,6508346,6408005,6252134,6068225,5894231,5760471,5669980,5622957,5642472,5755165,5976311,6322952,6781938,7300808,7806613,8247815,8601053,8883318,9132533,9406456,9745433,10162670,10640010,11149121,11648117,12107600,12516994,12888178,13241128,13605853,14003429,14440385,14907682,15392119,15873910,16338837,16782979,17211000,17629000,18044000,18463000,18887000,19314000,19742000,20171000,20600000,21027000,21454000,21881000,22306000,22730000,23152000,23573000,23991000,24406000,24818000,25226000,25631000,26032000,26427000,26818000,27202000,27581000,27954000,28319000,28678000,29029000,29373000,29710000,30039000,30361000
Afghanistan,AFG,ASIA (EX. NEAR EAST),"Population, male",SP.POP.TOTL.MA.IN,4650518,4730355,4814869,4904210,4998550,5098053,5201355,5308218,5421110,5543436,5676782,5820298,5970238,6121469,6267286,6401453,6527159,6642293,6729534,6766520,6740024,6645949,6497511,6321044,6152884,6022579,5931061,5879804,5898416,6022444,6272803,6670705,7199293,7794291,8366106,8851726,9221831,9498287,9731466,9997220,10348323,10803793,11339913,11915730,12470862,12963198,13376456,13728614,14052903,14398478,14799738,15268214,15789276,16339569,16884110,17397657,17873053,18319000,18744000,19165000,19592000,20026000,20465000,20907000,21349000,21789000,22227000,22665000,23102000,23536000,23969000,24400000,24828000,25252000,25673000,26090000,26502000,26909000,27311000,27707000,28096000,28479000,28855000,29224000,29584000,29936000,30280000,30615000,30941000,31258000,31567000
Afghanistan,AFG,ASIA (EX. NEAR EAST),"Population, total",SP.POP.TOTL,8996351,9166764,9345868,9533954,9731361,9938414,10152331,10372630,10604346,10854428,11126123,11417825,11721940,12027822,12321541,12590286,12840299,13067538,13237734,13306695,13248370,13053954,12749645,12389269,12047115,11783050,11601041,11502761,11540888,11777609,12249114,12993657,13981231,15095099,16172719,17099541,17822884,18381605,18863999,19403676,20093756,20966463,21979923,23064851,24118979,25070798,25893450,26616792,27294031,28004331,28803167,29708599,30696958,31731688,32758020,33736494,34656032,35530000,36373000,37209000,38055000,38914000,39779000,40649000,41520000,42388000,43254000,44119000,44982000,45843000,46700000,47552000,48400000,49243000,50079000,50908000,51728000,52540000,53343000,54134000,54914000,55682000,56436000,57177000,57903000,58614000,59309000,59988000,60651000,61297000,61928000
Albania,ALB,EASTERN EUROPE,"Population, female",SP.POP.TOTL.FE.IN,780595,805308,830316,855239,880255,904825,928928,953602,981017,1009814,1035957,1061518,1088573,1114868,1141014,1167737,1193879,1220600,1246195,1271299,1297789,1324523,1353594,1383432,1413336,1442681,1469815,1497726,1525329,1568794,1603298,1604796,1610589,1617723,1621588,1618644,1607184,1588691,1566487,1545229,1528047,1511367,1508258,1506351,1503758,1498085,1488492,1475636,1462169,1451096,1444648,1443885,1446468,1449671,1452057,1451807,1451769,1457000,1461000,1464000,1468000,1471000,1474000,1477000,1480000,1482000,1483000,1483000,1483000,1482000,1480000,1477000,1474000,1470000,1465000,1460000,1454000,1448000,1441000,1434000,1426000,1418000,1410000,1402000,1394000,1385000,1377000,1369000,1360000,1352000,1343000
Albania,ALB,EASTERN EUROPE,"Population, male",SP.POP.TOTL.MA.IN,828205,854492,881003,907382,933880,959966,985645,1011996,1041255,1071881,1099522,1126335,1154553,1181884,1209110,1237094,1264647,1292946,1320071,1346533,1374208,1401533,1430684,1460528,1491093,1522081,1552820,1585879,1617007,1659149,1683244,1661994,1636450,1609564,1585948,1569140,1560849,1559590,1562043,1563549,1560980,1548806,1542752,1533265,1523181,1513402,1504055,1494381,1485145,1476423,1468373,1461310,1453933,1445421,1437047,1428896,1424332,1427000,1431000,1435000,1439000,1442000,1444000,1446000,1448000,1449000,1449000,1449000,1448000,1447000,1444000,1442000,1438000,1434000,1429000,1424000,1419000,1413000,1407000,1400000,1394000,1387000,1380000,1374000,1367000,1361000,1354000,1348000,1342000,1336000,1330000
Albania,ALB,EASTERN EUROPE,"Population, total",SP.POP.TOTL,1608800,1659800,1711319,1762621,1814135,1864791,1914573,1965598,2022272,2081695,2135479,2187853,2243126,2296752,2350124,2404831,2458526,2513546,2566266,2617832,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703,2876101,2884000,2892000,2900000,2907000,2913000,2919000,2924000,2928000,2931000,2932000,2932000,2931000,2928000,2924000,2919000,2912000,2904000,2895000,2884000,2873000,2860000,2847000,2834000,2820000,2805000,2791000,2776000,2761000,2746000,2731000,2717000,2702000,2687000,2673000
Algeria,DZA,NORTHERN AFRICA,"Population, female",SP.POP.TOTL.FE.IN,5527053,5668595,5813438,5963247,6120323,6286264,6462013,6646944,6839168,7035930,7235405,7437121,7642213,7852430,8070272,8297705,8534648,8780908,9038136,9308316,9592486,9891016,10202398,10523396,10849600,11177397,11504928,11831508,12155986,12477542,12795122,13108642,13416598,13714986,13998796,14264839,14512244,14743155,14961339,15172214,15380509,15587701,15795231,16007854,16231106,16469325,16723548,16994078,17283242,17593363,17925229,18280118,18655339,19042568,19430571,19810777,20179815,20538000,20886000,21224000,21555000,21876000,22187000,22488000,22780000,23061000,23333000,23596000,23851000,24100000,24342000,24580000,24813000,25042000,25268000,25494000,25718000,25941000,26163000,26385000,26607000,26828000,27049000,27268000,27486000,27701000,27914000,28122000,28326000,28523000,28713000
Algeria,DZA,NORTHERN AFRICA,"Population, male",SP.POP.TOTL.MA.IN,5597835,5736264,5876715,6021889,6175647,6340688,6518254,6707253,6905219,7108508,7314629,7522988,7734880,7951998,8176841,8411394,8655591,8909276,9174190,9452445,9745229,10052648,10373303,10704893,11044253,11388508,11736344,12086389,12435506,12780130,13117245,13445687,13764496,14071273,14363457,14639459,14899171,15143684,15374393,15593399,15803151,16004452,16199815,16395660,16599990,16819112,17054367,17305998,17577473,17872397,18192408,18539440,18910508,19295994,19682742,20060751,20426237,20780000,21122000,21455000,21779000,22093000,22397000,22691000,22973000,23247000,23510000,23764000,24009000,24247000,24480000,24706000,24928000,25147000,25362000,25577000,25790000,26003000,26216000,26429000,26642000,26856000,27071000,27285000,27499000,27710000,27920000,28128000,28332000,28531000,28724000
Algeria,DZA,NORTHERN AFRICA,"Population, total",SP.POP.TOTL,11124888,11404859,11690153,11985136,12295970,12626952,12980267,13354197,13744387,14144438,14550034,14960109,15377093,15804428,16247113,16709099,17190239,17690184,18212326,18760761,19337715,19943664,20575701,21228289,21893853,22565905,23241272,23917897,24591492,25257672,25912367,26554329,27181094,27786259,28362253,28904298,29411415,29886839,30335732,30765613,31183660,31592153,31995046,32403514,32831096,33288437,33777915,34300076,34860715,35465760,36117637,36819558,37565847,38338562,39113313,39871528,40606052,41318000,42008000,42679000,43333000,43969000,44584000,45179000,45753000,46308000,46843000,47360000,47860000,48347000,48822000,49286000,49741000,50188000,50631000,51070000,51508000,51944000,52379000,52814000,53249000,53684000,54120000,54554000,54985000,55412000,55834000,56250000,56658000,57054000,57437000
American Samoa,ASM,OCEANIA,"Population, female",SP.POP.TOTL.FE.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
